Font	Codepoints	Glyphs	GSUB_Lookup_Count
cache/NotoSansOldSouthArabian-Regular.ttf	36	37	0
cache/NotoSansOldTurkic-Regular.ttf	78	80	1
cache/NotoSansPalmyrene-Regular.ttf	36	57	1
cache/NotoSansPhagsPa-Regular.ttf	94	385	13
cache/NotoSansPhoenician-Regular.ttf	33	34	0
cache/NotoSansPsalterPahlavi-Regular.ttf	37	98	11
cache/NotoSansRunic-Regular.ttf	95	96	0
cache/NotoSansSharada-Regular.ttf	110	240	12
cache/NotoSansShavian-Regular.ttf	52	53	0
cache/NotoSansSiddham-Regular.ttf	99	507	139
cache/NotoSansSogdian-Regular.ttf	49	345	189
cache/NotoSansSoraSompeng-Regular.ttf	41	42	0
cache/NotoSansSoyombo-Regular.ttf	88	323	287
cache/NotoSansSylotiNagri-Regular.ttf	68	87	1
cache/NotoSansSymbols-Bold.ttf	840	846	0
cache/NotoSansSymbols-Regular.ttf	840	846	0
cache/NotoSansSymbols2-Regular.ttf	2641	2660	4
cache/NotoSansTakri-Regular.ttf	87	97	12
cache/NotoSansThai-Bold.ttf	101	140	16
cache/NotoSansThai-Regular.ttf	101	140	16
cache/NotoSansThaiSubset-Bold.ttf	1	2	0
cache/NotoSansThaiSubset-Regular.ttf	1	2	0
cache/NotoSansTirhuta-Regular.ttf	108	262	46
cache/NotoSansUgaritic-Regular.ttf	35	36	0
cache/NotoSansVithkuqi-Regular.ttf	101	103	0
cache/NotoSansZanabazarSquare-Regular.ttf	77	154	23
cache/NotoSerifAhom-Regular.ttf	70	83	9
cache/NotoSerifDivesAkuru-Regular.ttf	75	168	35
cache/NotoSerifDogra-Regular.ttf	69	143	34
cache/NotoSerifDograSubset-Regular.ttf	69	143	34
cache/NotoSerifKhojki-Regular.ttf	144	397	41
cache/NotoSerifMakasar-Regular.ttf	28	31	2
cache/NotoSerifOttomanSiyaq-Regular.ttf	61	63	1
cache/NotoSerifTangut-Regular.ttf	7139	7142	2
cache/NotoSerifTangutSubset-Regular.ttf	7139	7142	2
